time484c39f77ace4808a5a48f6b481bafbe,intInc1,intRep1,dblInc1,dblRep1,strInc1,strRep1,decInc1,decRep1,boolInc1,boolRep1,smallInc1,smallRep1,dateCur1,dateInc1,intInc2,intRep2,dblInc2,dblRep2,strInc2,strRep2,decInc2,decRep2,boolInc2,boolRep2,smallInc2,smallRep2,dateCur2,dateInc2,intInc3,intRep3,dblInc3,dblRep3,strInc3,strRep3,decInc3,decRep3,boolInc3,boolRep3,smallInc3,smallRep3,dateCur3,dateInc3,intInc4,intRep4,dblInc4,dblRep4,strInc4,strRep4,decInc4,decRep4,boolInc4,boolRep4,smallInc4,smallRep4,dateCur4,dateInc4,intInc5,intRep5,dblInc5,dblRep5,strInc5,strRep5,decInc5,decRep5,boolInc5,boolRep5,smallInc5,smallRep5,dateCur5,dateInc5
2019-01-01 00:00:11,11,1,0.11,0.01,'strstrstrstrstrstr11','strstrstrstrstrstr1',0.11,0.01,1,1,11,1,'2019-01-01','2019-01-12',11,1,0.11,0.01,'strstrstrstrstrstr11','strstrstrstrstrstr1',0.11,0.01,1,1,11,1,'2019-01-01','2019-01-12',11,1,0.11,0.01,'strstrstrstrstrstr11','strstrstrstrstrstr1',0.11,0.01,1,1,11,1,'2019-01-01','2019-01-12',11,1,0.11,0.01,'strstrstrstrstrstr11','strstrstrstrstrstr1',0.11,0.01,1,1,11,1,'2019-01-01','2019-01-12',11,1,0.11,0.01,'strstrstrstrstrstr11','strstrstrstrstrstr1',0.11,0.01,1,1,11,1,'2019-01-01','2019-01-12'
2019-01-01 00:00:12,12,2,0.12,0.02,'strstrstrstrstrstr12','strstrstrstrstrstr2',0.12,0.02,0,1,12,2,'2019-01-01','2019-01-13',12,2,0.12,0.02,'strstrstrstrstrstr12','strstrstrstrstrstr2',0.12,0.02,0,1,12,2,'2019-01-01','2019-01-13',12,2,0.12,0.02,'strstrstrstrstrstr12','strstrstrstrstrstr2',0.12,0.02,0,1,12,2,'2019-01-01','2019-01-13',12,2,0.12,0.02,'strstrstrstrstrstr12','strstrstrstrstrstr2',0.12,0.02,0,1,12,2,'2019-01-01','2019-01-13',12,2,0.12,0.02,'strstrstrstrstrstr12','strstrstrstrstrstr2',0.12,0.02,0,1,12,2,'2019-01-01','2019-01-13'
2019-01-01 00:00:13,13,3,0.13,0.03,'strstrstrstrstrstr13','strstrstrstrstrstr3',0.13,0.03,1,1,13,3,'2019-01-01','2019-01-14',13,3,0.13,0.03,'strstrstrstrstrstr13','strstrstrstrstrstr3',0.13,0.03,1,1,13,3,'2019-01-01','2019-01-14',13,3,0.13,0.03,'strstrstrstrstrstr13','strstrstrstrstrstr3',0.13,0.03,1,1,13,3,'2019-01-01','2019-01-14',13,3,0.13,0.03,'strstrstrstrstrstr13','strstrstrstrstrstr3',0.13,0.03,1,1,13,3,'2019-01-01','2019-01-14',13,3,0.13,0.03,'strstrstrstrstrstr13','strstrstrstrstrstr3',0.13,0.03,1,1,13,3,'2019-01-01','2019-01-14'
2019-01-01 00:00:14,14,4,0.14,0.04,'strstrstrstrstrstr14','strstrstrstrstrstr4',0.14,0.04,0,1,14,4,'2019-01-01','2019-01-15',14,4,0.14,0.04,'strstrstrstrstrstr14','strstrstrstrstrstr4',0.14,0.04,0,1,14,4,'2019-01-01','2019-01-15',14,4,0.14,0.04,'strstrstrstrstrstr14','strstrstrstrstrstr4',0.14,0.04,0,1,14,4,'2019-01-01','2019-01-15',14,4,0.14,0.04,'strstrstrstrstrstr14','strstrstrstrstrstr4',0.14,0.04,0,1,14,4,'2019-01-01','2019-01-15',14,4,0.14,0.04,'strstrstrstrstrstr14','strstrstrstrstrstr4',0.14,0.04,0,1,14,4,'2019-01-01','2019-01-15'
2019-01-01 00:00:15,15,5,0.15,0.05,'strstrstrstrstrstr15','strstrstrstrstrstr5',0.15,0.05,1,1,15,5,'2019-01-01','2019-01-16',15,5,0.15,0.05,'strstrstrstrstrstr15','strstrstrstrstrstr5',0.15,0.05,1,1,15,5,'2019-01-01','2019-01-16',15,5,0.15,0.05,'strstrstrstrstrstr15','strstrstrstrstrstr5',0.15,0.05,1,1,15,5,'2019-01-01','2019-01-16',15,5,0.15,0.05,'strstrstrstrstrstr15','strstrstrstrstrstr5',0.15,0.05,1,1,15,5,'2019-01-01','2019-01-16',15,5,0.15,0.05,'strstrstrstrstrstr15','strstrstrstrstrstr5',0.15,0.05,1,1,15,5,'2019-01-01','2019-01-16'
2019-01-01 00:00:16,16,6,0.16,0.06,'strstrstrstrstrstr16','strstrstrstrstrstr6',0.16,0.06,0,1,16,6,'2019-01-01','2019-01-17',16,6,0.16,0.06,'strstrstrstrstrstr16','strstrstrstrstrstr6',0.16,0.06,0,1,16,6,'2019-01-01','2019-01-17',16,6,0.16,0.06,'strstrstrstrstrstr16','strstrstrstrstrstr6',0.16,0.06,0,1,16,6,'2019-01-01','2019-01-17',16,6,0.16,0.06,'strstrstrstrstrstr16','strstrstrstrstrstr6',0.16,0.06,0,1,16,6,'2019-01-01','2019-01-17',16,6,0.16,0.06,'strstrstrstrstrstr16','strstrstrstrstrstr6',0.16,0.06,0,1,16,6,'2019-01-01','2019-01-17'
2019-01-01 00:00:17,17,7,0.17,0.07,'strstrstrstrstrstr17','strstrstrstrstrstr7',0.17,0.07,1,1,17,7,'2019-01-01','2019-01-18',17,7,0.17,0.07,'strstrstrstrstrstr17','strstrstrstrstrstr7',0.17,0.07,1,1,17,7,'2019-01-01','2019-01-18',17,7,0.17,0.07,'strstrstrstrstrstr17','strstrstrstrstrstr7',0.17,0.07,1,1,17,7,'2019-01-01','2019-01-18',17,7,0.17,0.07,'strstrstrstrstrstr17','strstrstrstrstrstr7',0.17,0.07,1,1,17,7,'2019-01-01','2019-01-18',17,7,0.17,0.07,'strstrstrstrstrstr17','strstrstrstrstrstr7',0.17,0.07,1,1,17,7,'2019-01-01','2019-01-18'
2019-01-01 00:00:18,18,8,0.18,0.08,'strstrstrstrstrstr18','strstrstrstrstrstr8',0.18,0.08,0,1,18,8,'2019-01-01','2019-01-19',18,8,0.18,0.08,'strstrstrstrstrstr18','strstrstrstrstrstr8',0.18,0.08,0,1,18,8,'2019-01-01','2019-01-19',18,8,0.18,0.08,'strstrstrstrstrstr18','strstrstrstrstrstr8',0.18,0.08,0,1,18,8,'2019-01-01','2019-01-19',18,8,0.18,0.08,'strstrstrstrstrstr18','strstrstrstrstrstr8',0.18,0.08,0,1,18,8,'2019-01-01','2019-01-19',18,8,0.18,0.08,'strstrstrstrstrstr18','strstrstrstrstrstr8',0.18,0.08,0,1,18,8,'2019-01-01','2019-01-19'
2019-01-01 00:00:19,19,9,0.19,0.09,'strstrstrstrstrstr19','strstrstrstrstrstr9',0.19,0.09,1,1,19,9,'2019-01-01','2019-01-20',19,9,0.19,0.09,'strstrstrstrstrstr19','strstrstrstrstrstr9',0.19,0.09,1,1,19,9,'2019-01-01','2019-01-20',19,9,0.19,0.09,'strstrstrstrstrstr19','strstrstrstrstrstr9',0.19,0.09,1,1,19,9,'2019-01-01','2019-01-20',19,9,0.19,0.09,'strstrstrstrstrstr19','strstrstrstrstrstr9',0.19,0.09,1,1,19,9,'2019-01-01','2019-01-20',19,9,0.19,0.09,'strstrstrstrstrstr19','strstrstrstrstrstr9',0.19,0.09,1,1,19,9,'2019-01-01','2019-01-20'
2019-01-01 00:00:20,20,0,0.2,0.0,'strstrstrstrstrstr20','strstrstrstrstrstr0',0.2,0.0,0,0,20,0,'2019-01-01','2019-01-21',20,0,0.2,0.0,'strstrstrstrstrstr20','strstrstrstrstrstr0',0.2,0.0,0,0,20,0,'2019-01-01','2019-01-21',20,0,0.2,0.0,'strstrstrstrstrstr20','strstrstrstrstrstr0',0.2,0.0,0,0,20,0,'2019-01-01','2019-01-21',20,0,0.2,0.0,'strstrstrstrstrstr20','strstrstrstrstrstr0',0.2,0.0,0,0,20,0,'2019-01-01','2019-01-21',20,0,0.2,0.0,'strstrstrstrstrstr20','strstrstrstrstrstr0',0.2,0.0,0,0,20,0,'2019-01-01','2019-01-21'
2019-01-01 00:00:21,21,1,0.21,0.01,'strstrstrstrstrstr21','strstrstrstrstrstr1',0.21,0.01,1,0,21,1,'2019-01-01','2019-01-22',21,1,0.21,0.01,'strstrstrstrstrstr21','strstrstrstrstrstr1',0.21,0.01,1,0,21,1,'2019-01-01','2019-01-22',21,1,0.21,0.01,'strstrstrstrstrstr21','strstrstrstrstrstr1',0.21,0.01,1,0,21,1,'2019-01-01','2019-01-22',21,1,0.21,0.01,'strstrstrstrstrstr21','strstrstrstrstrstr1',0.21,0.01,1,0,21,1,'2019-01-01','2019-01-22',21,1,0.21,0.01,'strstrstrstrstrstr21','strstrstrstrstrstr1',0.21,0.01,1,0,21,1,'2019-01-01','2019-01-22'
2019-01-01 00:00:22,22,2,0.22,0.02,'strstrstrstrstrstr22','strstrstrstrstrstr2',0.22,0.02,0,0,22,2,'2019-01-01','2019-01-23',22,2,0.22,0.02,'strstrstrstrstrstr22','strstrstrstrstrstr2',0.22,0.02,0,0,22,2,'2019-01-01','2019-01-23',22,2,0.22,0.02,'strstrstrstrstrstr22','strstrstrstrstrstr2',0.22,0.02,0,0,22,2,'2019-01-01','2019-01-23',22,2,0.22,0.02,'strstrstrstrstrstr22','strstrstrstrstrstr2',0.22,0.02,0,0,22,2,'2019-01-01','2019-01-23',22,2,0.22,0.02,'strstrstrstrstrstr22','strstrstrstrstrstr2',0.22,0.02,0,0,22,2,'2019-01-01','2019-01-23'
2019-01-01 00:00:23,23,3,0.23,0.03,'strstrstrstrstrstr23','strstrstrstrstrstr3',0.23,0.03,1,0,23,3,'2019-01-01','2019-01-24',23,3,0.23,0.03,'strstrstrstrstrstr23','strstrstrstrstrstr3',0.23,0.03,1,0,23,3,'2019-01-01','2019-01-24',23,3,0.23,0.03,'strstrstrstrstrstr23','strstrstrstrstrstr3',0.23,0.03,1,0,23,3,'2019-01-01','2019-01-24',23,3,0.23,0.03,'strstrstrstrstrstr23','strstrstrstrstrstr3',0.23,0.03,1,0,23,3,'2019-01-01','2019-01-24',23,3,0.23,0.03,'strstrstrstrstrstr23','strstrstrstrstrstr3',0.23,0.03,1,0,23,3,'2019-01-01','2019-01-24'
2019-01-01 00:00:24,24,4,0.24,0.04,'strstrstrstrstrstr24','strstrstrstrstrstr4',0.24,0.04,0,0,24,4,'2019-01-01','2019-01-25',24,4,0.24,0.04,'strstrstrstrstrstr24','strstrstrstrstrstr4',0.24,0.04,0,0,24,4,'2019-01-01','2019-01-25',24,4,0.24,0.04,'strstrstrstrstrstr24','strstrstrstrstrstr4',0.24,0.04,0,0,24,4,'2019-01-01','2019-01-25',24,4,0.24,0.04,'strstrstrstrstrstr24','strstrstrstrstrstr4',0.24,0.04,0,0,24,4,'2019-01-01','2019-01-25',24,4,0.24,0.04,'strstrstrstrstrstr24','strstrstrstrstrstr4',0.24,0.04,0,0,24,4,'2019-01-01','2019-01-25'
2019-01-01 00:00:25,25,5,0.25,0.05,'strstrstrstrstrstr25','strstrstrstrstrstr5',0.25,0.05,1,0,25,5,'2019-01-01','2019-01-26',25,5,0.25,0.05,'strstrstrstrstrstr25','strstrstrstrstrstr5',0.25,0.05,1,0,25,5,'2019-01-01','2019-01-26',25,5,0.25,0.05,'strstrstrstrstrstr25','strstrstrstrstrstr5',0.25,0.05,1,0,25,5,'2019-01-01','2019-01-26',25,5,0.25,0.05,'strstrstrstrstrstr25','strstrstrstrstrstr5',0.25,0.05,1,0,25,5,'2019-01-01','2019-01-26',25,5,0.25,0.05,'strstrstrstrstrstr25','strstrstrstrstrstr5',0.25,0.05,1,0,25,5,'2019-01-01','2019-01-26'
2019-01-01 00:00:26,26,6,0.26,0.06,'strstrstrstrstrstr26','strstrstrstrstrstr6',0.26,0.06,0,0,26,6,'2019-01-01','2019-01-27',26,6,0.26,0.06,'strstrstrstrstrstr26','strstrstrstrstrstr6',0.26,0.06,0,0,26,6,'2019-01-01','2019-01-27',26,6,0.26,0.06,'strstrstrstrstrstr26','strstrstrstrstrstr6',0.26,0.06,0,0,26,6,'2019-01-01','2019-01-27',26,6,0.26,0.06,'strstrstrstrstrstr26','strstrstrstrstrstr6',0.26,0.06,0,0,26,6,'2019-01-01','2019-01-27',26,6,0.26,0.06,'strstrstrstrstrstr26','strstrstrstrstrstr6',0.26,0.06,0,0,26,6,'2019-01-01','2019-01-27'
2019-01-01 00:00:27,27,7,0.27,0.07,'strstrstrstrstrstr27','strstrstrstrstrstr7',0.27,0.07,1,0,27,7,'2019-01-01','2019-01-28',27,7,0.27,0.07,'strstrstrstrstrstr27','strstrstrstrstrstr7',0.27,0.07,1,0,27,7,'2019-01-01','2019-01-28',27,7,0.27,0.07,'strstrstrstrstrstr27','strstrstrstrstrstr7',0.27,0.07,1,0,27,7,'2019-01-01','2019-01-28',27,7,0.27,0.07,'strstrstrstrstrstr27','strstrstrstrstrstr7',0.27,0.07,1,0,27,7,'2019-01-01','2019-01-28',27,7,0.27,0.07,'strstrstrstrstrstr27','strstrstrstrstrstr7',0.27,0.07,1,0,27,7,'2019-01-01','2019-01-28'
2019-01-01 00:00:28,28,8,0.28,0.08,'strstrstrstrstrstr28','strstrstrstrstrstr8',0.28,0.08,0,0,28,8,'2019-01-01','2019-01-29',28,8,0.28,0.08,'strstrstrstrstrstr28','strstrstrstrstrstr8',0.28,0.08,0,0,28,8,'2019-01-01','2019-01-29',28,8,0.28,0.08,'strstrstrstrstrstr28','strstrstrstrstrstr8',0.28,0.08,0,0,28,8,'2019-01-01','2019-01-29',28,8,0.28,0.08,'strstrstrstrstrstr28','strstrstrstrstrstr8',0.28,0.08,0,0,28,8,'2019-01-01','2019-01-29',28,8,0.28,0.08,'strstrstrstrstrstr28','strstrstrstrstrstr8',0.28,0.08,0,0,28,8,'2019-01-01','2019-01-29'
2019-01-01 00:00:29,29,9,0.29,0.09,'strstrstrstrstrstr29','strstrstrstrstrstr9',0.29,0.09,1,0,29,9,'2019-01-01','2019-01-30',29,9,0.29,0.09,'strstrstrstrstrstr29','strstrstrstrstrstr9',0.29,0.09,1,0,29,9,'2019-01-01','2019-01-30',29,9,0.29,0.09,'strstrstrstrstrstr29','strstrstrstrstrstr9',0.29,0.09,1,0,29,9,'2019-01-01','2019-01-30',29,9,0.29,0.09,'strstrstrstrstrstr29','strstrstrstrstrstr9',0.29,0.09,1,0,29,9,'2019-01-01','2019-01-30',29,9,0.29,0.09,'strstrstrstrstrstr29','strstrstrstrstrstr9',0.29,0.09,1,0,29,9,'2019-01-01','2019-01-30'
2019-01-01 00:00:30,30,0,0.3,0.0,'strstrstrstrstrstr30','strstrstrstrstrstr0',0.3,0.0,0,1,30,0,'2019-01-01','2019-01-31',30,0,0.3,0.0,'strstrstrstrstrstr30','strstrstrstrstrstr0',0.3,0.0,0,1,30,0,'2019-01-01','2019-01-31',30,0,0.3,0.0,'strstrstrstrstrstr30','strstrstrstrstrstr0',0.3,0.0,0,1,30,0,'2019-01-01','2019-01-31',30,0,0.3,0.0,'strstrstrstrstrstr30','strstrstrstrstrstr0',0.3,0.0,0,1,30,0,'2019-01-01','2019-01-31',30,0,0.3,0.0,'strstrstrstrstrstr30','strstrstrstrstrstr0',0.3,0.0,0,1,30,0,'2019-01-01','2019-01-31'
2019-01-01 00:00:31,31,1,0.31,0.01,'strstrstrstrstrstr31','strstrstrstrstrstr1',0.31,0.01,1,1,31,1,'2019-01-01','2019-02-01',31,1,0.31,0.01,'strstrstrstrstrstr31','strstrstrstrstrstr1',0.31,0.01,1,1,31,1,'2019-01-01','2019-02-01',31,1,0.31,0.01,'strstrstrstrstrstr31','strstrstrstrstrstr1',0.31,0.01,1,1,31,1,'2019-01-01','2019-02-01',31,1,0.31,0.01,'strstrstrstrstrstr31','strstrstrstrstrstr1',0.31,0.01,1,1,31,1,'2019-01-01','2019-02-01',31,1,0.31,0.01,'strstrstrstrstrstr31','strstrstrstrstrstr1',0.31,0.01,1,1,31,1,'2019-01-01','2019-02-01'
2019-01-01 00:00:32,32,2,0.32,0.02,'strstrstrstrstrstr32','strstrstrstrstrstr2',0.32,0.02,0,1,32,2,'2019-01-01','2019-02-02',32,2,0.32,0.02,'strstrstrstrstrstr32','strstrstrstrstrstr2',0.32,0.02,0,1,32,2,'2019-01-01','2019-02-02',32,2,0.32,0.02,'strstrstrstrstrstr32','strstrstrstrstrstr2',0.32,0.02,0,1,32,2,'2019-01-01','2019-02-02',32,2,0.32,0.02,'strstrstrstrstrstr32','strstrstrstrstrstr2',0.32,0.02,0,1,32,2,'2019-01-01','2019-02-02',32,2,0.32,0.02,'strstrstrstrstrstr32','strstrstrstrstrstr2',0.32,0.02,0,1,32,2,'2019-01-01','2019-02-02'
2019-01-01 00:00:33,33,3,0.33,0.03,'strstrstrstrstrstr33','strstrstrstrstrstr3',0.33,0.03,1,1,33,3,'2019-01-01','2019-02-03',33,3,0.33,0.03,'strstrstrstrstrstr33','strstrstrstrstrstr3',0.33,0.03,1,1,33,3,'2019-01-01','2019-02-03',33,3,0.33,0.03,'strstrstrstrstrstr33','strstrstrstrstrstr3',0.33,0.03,1,1,33,3,'2019-01-01','2019-02-03',33,3,0.33,0.03,'strstrstrstrstrstr33','strstrstrstrstrstr3',0.33,0.03,1,1,33,3,'2019-01-01','2019-02-03',33,3,0.33,0.03,'strstrstrstrstrstr33','strstrstrstrstrstr3',0.33,0.03,1,1,33,3,'2019-01-01','2019-02-03'
2019-01-01 00:00:34,34,4,0.34,0.04,'strstrstrstrstrstr34','strstrstrstrstrstr4',0.34,0.04,0,1,34,4,'2019-01-01','2019-02-04',34,4,0.34,0.04,'strstrstrstrstrstr34','strstrstrstrstrstr4',0.34,0.04,0,1,34,4,'2019-01-01','2019-02-04',34,4,0.34,0.04,'strstrstrstrstrstr34','strstrstrstrstrstr4',0.34,0.04,0,1,34,4,'2019-01-01','2019-02-04',34,4,0.34,0.04,'strstrstrstrstrstr34','strstrstrstrstrstr4',0.34,0.04,0,1,34,4,'2019-01-01','2019-02-04',34,4,0.34,0.04,'strstrstrstrstrstr34','strstrstrstrstrstr4',0.34,0.04,0,1,34,4,'2019-01-01','2019-02-04'
2019-01-01 00:00:35,35,5,0.35,0.05,'strstrstrstrstrstr35','strstrstrstrstrstr5',0.35,0.05,1,1,35,5,'2019-01-01','2019-02-05',35,5,0.35,0.05,'strstrstrstrstrstr35','strstrstrstrstrstr5',0.35,0.05,1,1,35,5,'2019-01-01','2019-02-05',35,5,0.35,0.05,'strstrstrstrstrstr35','strstrstrstrstrstr5',0.35,0.05,1,1,35,5,'2019-01-01','2019-02-05',35,5,0.35,0.05,'strstrstrstrstrstr35','strstrstrstrstrstr5',0.35,0.05,1,1,35,5,'2019-01-01','2019-02-05',35,5,0.35,0.05,'strstrstrstrstrstr35','strstrstrstrstrstr5',0.35,0.05,1,1,35,5,'2019-01-01','2019-02-05'
2019-01-01 00:00:36,36,6,0.36,0.06,'strstrstrstrstrstr36','strstrstrstrstrstr6',0.36,0.06,0,1,36,6,'2019-01-01','2019-02-06',36,6,0.36,0.06,'strstrstrstrstrstr36','strstrstrstrstrstr6',0.36,0.06,0,1,36,6,'2019-01-01','2019-02-06',36,6,0.36,0.06,'strstrstrstrstrstr36','strstrstrstrstrstr6',0.36,0.06,0,1,36,6,'2019-01-01','2019-02-06',36,6,0.36,0.06,'strstrstrstrstrstr36','strstrstrstrstrstr6',0.36,0.06,0,1,36,6,'2019-01-01','2019-02-06',36,6,0.36,0.06,'strstrstrstrstrstr36','strstrstrstrstrstr6',0.36,0.06,0,1,36,6,'2019-01-01','2019-02-06'
